1	    9.60	1	   -0.73	   24.77	    0.00
2	    9.43	2	   11.42	   24.56	    2.36
3	    4.71	3	   15.61	   33.87	    0.00
4	    0.00	2	   17.63	   37.58	    0.00
5	    0.00	1	   25.32	   26.87	    0.00
6	    0.00	0	   23.52	   22.32	    0.00
7	    0.00	0	   23.44	   12.16	    0.00
8	    0.00	1	   23.90	    4.75	    0.00
9	    0.00	0	   21.60	    1.53	    0.00
10	    1.30	0	   10.00	    7.78	    3.90
11	    3.28	1	   11.69	    3.46	    0.00
12	   10.87	2	    8.40	   11.34	    0.00
13	   14.30	3	    9.96	   26.28	    0.00
14	   25.43	4	    6.19	   33.42	    0.00
15	   15.35	5	   17.45	   36.16	    0.00
16	    2.65	6	   23.01	   36.19	    0.00
17	    0.00	5	   23.92	   33.36	    0.00
18	    0.00	4	   21.39	   17.44	    0.00
19	    0.00	3	   30.66	   13.93	    0.00
20	    0.00	2	   24.51	    3.30	    0.00
21	    0.00	1	   22.91	    3.76	    0.00
22	    0.00	0	   14.12	    4.27	    0.00
23	    8.43	0	    9.14	   11.91	    0.00
24	   23.80	1	    6.17	   11.48	    0.00
25	   37.85	2	    7.58	   24.24	    0.00
26	   34.88	3	   12.88	   32.62	    0.00
27	   27.62	4	   15.61	   33.12	    0.00
28	   17.51	5	   18.21	   34.32	    0.00
29	    4.81	6	   22.81	   33.10	    0.00
30	    0.00	5	   25.00	   18.94	    0.00
31	    0.00	4	   31.61	   13.64	    0.00
32	    0.00	3	   20.66	    2.69	    0.00
33	    0.00	2	   16.54	    4.03	    0.00
34	    0.00	1	   11.87	    7.84	    0.00
35	   10.14	0	    5.86	    7.01	    0.00
36	   28.52	1	    3.75	   13.97	    0.00
37	   28.72	2	   -0.62	   23.51	    7.18
38	   25.99	3	    9.76	   29.98	    6.50
39	   19.85	4	   13.52	   32.18	    0.00
40	    9.70	5	   19.58	   32.10	    0.00
41	    0.00	4	   25.57	   26.36	    0.00
42	    0.00	3	   27.49	   26.09	    0.00
43	    0.00	2	   25.64	   17.60	    0.00
44	    0.00	1	   23.76	   10.68	    0.00
45	    0.00	0	   18.29	    0.00	    0.00
46	    3.78	0	   10.58	    6.05	    0.00
47	    4.89	1	   13.12	    6.07	    0.00
48	   15.67	2	    6.97	   10.74	    0.00
49	   27.87	3	    7.22	   20.93	    0.00
50	   39.78	4	    6.53	   28.63	    0.00
51	   29.75	5	   16.99	   33.03	    0.00
52	   17.44	6	   15.52	   32.92	    0.00
53	    2.21	7	   20.44	   31.43	    0.00
54	    0.00	6	   29.11	   23.95	    0.00
55	    0.00	5	   29.11	    9.83	    0.00
56	    0.00	4	   26.29	    8.46	    0.00
57	    0.00	3	   21.05	    2.67	    0.00
58	    0.00	2	   11.47	    3.34	    0.00
59	    7.39	1	    7.09	    9.77	    0.00
60	   18.02	2	    0.60	   18.55	    0.00
61	   20.11	3	    0.09	   22.42	    5.03
62	   27.90	4	    4.68	   28.90	    6.98
63	   21.99	5	   11.36	   34.64	    0.00
64	    9.61	6	   15.72	   35.14	    0.00
65	    0.00	5	   24.14	   30.62	    0.00
66	    0.00	4	   30.95	   25.88	    0.00
67	    0.00	3	   30.23	    9.80	    0.00
68	    0.00	2	   28.90	    3.27	    0.00
69	    0.00	1	   16.29	    3.26	    0.00
70	    0.00	0	   14.52	    2.60	    0.00
71	   14.12	0	    5.96	    9.18	    0.00
72	   22.55	1	    8.81	    9.75	    0.00
